,A_res,E_res,G_res,H_res,M,R,V,V_vap_gas,V_vap_liq,dE_vap,dH_vap,dV_vap,dpressure,epsilon,eta_CE,eta_CE_ig,eta_CE_m,m,omega22,pressure,rho,rho_vap_gas,rho_vap_liq,s_res,s_res*,s_res**,s_res_vle_gas,s_res_vle_liq,s_total,s_vap,sigma,state,success,temperature,viscosity,refno
139,-158.78491618304,-291.235672879654,-316.110536914223,-448.561293610837,0.0440962,8.31446261815324,0.00542741258223153,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,466120,184.249858445226,856.890365787341,10161.528926224,-0.409823189754059,-0.04929040018284266 m^-2 kg^-1 s^2 mol K,-0.024622682648139604 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,-5.3370877311406,-19.3114785803406,3.618353E-10,G,1,323.19,0.000008808,Bell
140,-168.740126117015,-309.487504373024,-335.830907767781,-476.578286023791,0.0440962,8.31446261815324,0.00510437166498004,0.00116729323627075,9.84059472098819E-05,-11052.6423524958,-12887.7689746371,-0.00106888728906087,1.20140612125397E-07,208.1101,1.87917356259047E-05,2.43412137146133E-05,9.38728314251852E-06,2.001829,1.29531482345135,493690,195.910499006328,856.682767386527,10161.9874443887,-0.435507699288352,-0.052379536632649375 m^-2 kg^-1 s^2 mol K,-0.026165839655959307 m^-2 kg^-1 s^2 mol K,-1.83991052437238,-21.1533944902986,-5.87602832238651,-19.3134839659262,3.618353E-10,G,1,323.18,0.000008811,Bell
141,-182.58399921724,-334.872423004806,-363.234691080009,-515.523114867575,0.0440962,8.31446261815324,0.00471352578668922,0.00116729323627075,9.84059472098819E-05,-11052.6423524958,-12887.7689746371,-0.00106888728906087,1.20140612125397E-07,208.1101,1.87917356259047E-05,2.43412137146133E-05,9.38728314251852E-06,2.001829,1.29531482345135,531750,212.155410886677,856.682767386527,10161.9874443887,-0.471218589601973,-0.05667456951134114 m^-2 kg^-1 s^2 mol K,-0.028311393985870487 m^-2 kg^-1 s^2 mol K,-1.83991052437238,-21.1533944902986,-6.57407894224324,-19.3134839659262,3.618353E-10,G,1,323.18,0.000008817,Bell
142,-198.246845869202,-363.595603243707,-394.211435135729,-559.560192510234,0.0440962,8.31446261815324,0.00433702399772705,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,574400,230.572853764259,856.890365787341,10161.528926224,-0.511614707678161,-0.06153310576694825 m^-2 kg^-1 s^2 mol K,-0.03073844257773678 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,-7.30359802018991,-19.3114785803406,3.618353E-10,G,1,323.19,0.00000882,Bell
143,-212.749199634966,-390.186185601589,-422.866856530003,-600.303842496625,0.0440962,8.31446261815324,0.00403793935293739,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,613440,247.651069665658,856.890365787341,10161.528926224,-0.549017562321305,-0.0660316351802 m^-2 kg^-1 s^2 mol K,-0.0329856522111529 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,-7.93510163368207,-19.3114785803406,3.618353E-10,G,1,323.19,0.000008825,Bell
144,-226.834362197441,-416.010889512775,-450.673710343932,-639.850237659267,0.0440962,8.31446261815324,0.00378406351354817,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,650970,264.266177462317,856.890365787341,10161.528926224,-0.585341524537686,-0.0704004036604471 m^-2 kg^-1 s^2 mol K,-0.03516804065704268 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,-8.51133407991668,-19.3114785803406,3.618353E-10,G,1,323.19,0.000008829,Bell
145,-241.724244504037,-443.310023758443,-480.043183856629,-681.628963111034,0.0440962,8.31446261815324,0.00354784960695472,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,690230,281.860876526372,856.890365787341,10161.528926224,-0.623737675220167,-0.07501839912760447 m^-2 kg^-1 s^2 mol K,-0.037474928741468155 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,-9.08565355528998,-19.3114785803406,3.618353E-10,G,1,323.19,0.000008836,Bell
146,-256.793509428954,-470.937008871765,-509.739122637937,-723.882622080747,0.0440962,8.31446261815324,0.00333667643599573,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,729530,299.699422219098,856.890365787341,10161.528926224,-0.66259320969959,-0.07969164576588844 m^-2 kg^-1 s^2 mol K,-0.039809417170941386 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,-9.63473808530884,-19.3114785803406,3.618353E-10,G,1,323.19,0.00000884,Bell
147,-274.738782545003,-503.840939818557,-545.066463072397,-774.168620345951,0.0440962,8.31446261815324,0.00311533318423291,0.001166727707329,9.84148288951575E-05,-11050.7877614425,-12885.7254602799,-0.00106831287843384,4.30736690759659E-08,208.1101,1.87927946348817E-05,2.4341966881181E-05,9.38781216321758E-06,2.001829,1.29528190746039,775810,320.992953518142,857.098013288217,10161.0703511491,-0.708855684633521,-0.08525574257629752 m^-2 kg^-1 s^2 mol K,-0.04258892371740918 m^-2 kg^-1 s^2 mol K,-1.84064973552865,-21.1501227997327,-10.2486602270153,-19.3094730642041,3.618353E-10,G,1,323.2,0.000008849,Bell
148,-288.650744772462,-529.344492847281,-572.426786568562,-813.120534643381,0.0440962,8.31446261815324,0.0029627334743427,0.001166727707329,9.84148288951575E-05,-11050.7877614425,-12885.7254602799,-0.00106831287843384,4.30736690759659E-08,208.1101,1.87927946348817E-05,2.4341966881181E-05,9.38781216321758E-06,2.001829,1.29528190746039,811230,337.526142212929,857.098013288217,10161.0703511491,-0.744720755181991,-0.0895693190749355 m^-2 kg^-1 s^2 mol K,-0.04474374138597027 m^-2 kg^-1 s^2 mol K,-1.84064973552865,-21.1501227997327,-10.702109159387,-19.3094730642041,3.618353E-10,G,1,323.2,0.000008853,Bell
